200.0	0.0	0.0
199.2	17.4	0.0
197.0	34.7	0.0
193.2	51.8	0.0
187.9	68.4	0.0
181.3	84.5	0.0
173.2	100.0	0.0
163.8	114.7	0.0
153.2	128.6	0.0
141.4	141.4	0.0
128.6	153.2	0.0
114.7	163.8	0.0
100.0	173.2	0.0
84.5	181.3	0.0
68.4	187.9	0.0
51.8	193.2	0.0
34.7	197.0	0.0
17.4	199.2	0.0
0.0	200.0	0.0
-17.4	199.2	0.0
-34.7	197.0	0.0
-51.8	193.2	0.0
-68.4	187.9	0.0
-84.5	181.3	0.0
-100.0	173.2	0.0
-114.7	163.8	0.0
-128.6	153.2	0.0
-141.4	141.4	0.0
-153.2	128.6	0.0
-163.8	114.7	0.0
-173.2	100.0	0.0
-181.3	84.5	0.0
-187.9	68.4	0.0
-193.2	51.8	0.0
-197.0	34.7	0.0
-199.2	17.4	0.0
-200.0	0.0	0.0
-199.2	-17.4	0.0
-197.0	-34.7	0.0
-193.2	-51.8	0.0
-187.9	-68.4	0.0
-181.3	-84.5	0.0
-173.2	-100.0	0.0
-163.8	-114.7	0.0
-153.2	-128.6	0.0
-141.4	-141.4	0.0
-128.6	-153.2	0.0
-114.7	-163.8	0.0
-100.0	-173.2	0.0
-84.5	-181.3	0.0
-68.4	-187.9	0.0
-51.8	-193.2	0.0
-34.7	-197.0	0.0
-17.4	-199.2	0.0
0.0	-200.0	0.0
17.4	-199.2	0.0
34.7	-197.0	0.0
51.8	-193.2	0.0
68.4	-187.9	0.0
84.5	-181.3	0.0
100.0	-173.2	0.0
114.7	-163.8	0.0
128.6	-153.2	0.0
141.4	-141.4	0.0
153.2	-128.6	0.0
163.8	-114.7	0.0
173.2	-100.0	0.0
181.3	-84.5	0.0
187.9	-68.4	0.0
193.2	-51.8	0.0
197.0	-34.7	0.0
199.2	-17.4	0.0
150.0	0.0	150.0
149.4	13.1	150.0
147.7	26.0	150.0
144.9	38.8	150.0
141.0	51.3	150.0
135.9	63.4	150.0
129.9	75.0	150.0
122.9	86.0	150.0
114.9	96.4	150.0
106.1	106.1	150.0
96.4	114.9	150.0
86.0	122.9	150.0
75.0	129.9	150.0
63.4	135.9	150.0
51.3	141.0	150.0
38.8	144.9	150.0
26.0	147.7	150.0
13.1	149.4	150.0
0.0	150.0	150.0
-13.1	149.4	150.0
-26.0	147.7	150.0
-38.8	144.9	150.0
-51.3	141.0	150.0
-63.4	135.9	150.0
-75.0	129.9	150.0
-86.0	122.9	150.0
-96.4	114.9	150.0
-106.1	106.1	150.0
-114.9	96.4	150.0
-122.9	86.0	150.0
-129.9	75.0	150.0
-135.9	63.4	150.0
-141.0	51.3	150.0
-144.9	38.8	150.0
-147.7	26.0	150.0
-149.4	13.1	150.0
-150.0	0.0	150.0
-149.4	-13.1	150.0
-147.7	-26.0	150.0
-144.9	-38.8	150.0
-141.0	-51.3	150.0
-135.9	-63.4	150.0
-129.9	-75.0	150.0
-122.9	-86.0	150.0
-114.9	-96.4	150.0
-106.1	-106.1	150.0
-96.4	-114.9	150.0
-86.0	-122.9	150.0
-75.0	-129.9	150.0
-63.4	-135.9	150.0
-51.3	-141.0	150.0
-38.8	-144.9	150.0
-26.0	-147.7	150.0
-13.1	-149.4	150.0
0.0	-150.0	150.0
13.1	-149.4	150.0
26.0	-147.7	150.0
38.8	-144.9	150.0
51.3	-141.0	150.0
63.4	-135.9	150.0
75.0	-129.9	150.0
86.0	-122.9	150.0
96.4	-114.9	150.0
106.1	-106.1	150.0
114.9	-96.4	150.0
122.9	-86.0	150.0
129.9	-75.0	150.0
135.9	-63.4	150.0
141.0	-51.3	150.0
144.9	-38.8	150.0
147.7	-26.0	150.0
149.4	-13.1	150.0
100.0	0.0	300.0
99.6	8.7	300.0
98.5	17.4	300.0
96.6	25.9	300.0
94.0	34.2	300.0
90.6	42.3	300.0
86.6	50.0	300.0
