1	73	73	145
2	74	74	146
3	75	75	147
4	76	76	148
5	77	77	149
6	78	78	150
7	79	79	151
8	80	80	152
9	81	81	153
10	82	82	154
11	83	83	155
12	84	84	156
13	85	85	157
14	86	86	158
15	87	87	159
16	88	88	160
17	89	89	161
18	90	90	162
19	91	91	163
20	92	92	164
21	93	93	165
22	94	94	166
23	95	95	167
24	96	96	168
25	97	97	169
26	98	98	170
27	99	99	171
28	100	100	172
29	101	101	173
30	102	102	174
31	103	103	175
32	104	104	176
33	105	105	177
34	106	106	178
35	107	107	179
36	108	108	180
37	109	109	181
38	110	110	182
39	111	111	183
40	112	112	184
41	113	113	185
42	114	114	186
43	115	115	187
44	116	116	188
45	117	117	189
46	118	118	190
47	119	119	191
48	120	120	192
49	121	121	193
50	122	122	194
51	123	123	195
52	124	124	196
53	125	125	197
54	126	126	198
55	127	127	199
56	128	128	200
57	129	129	201
58	130	130	202
59	131	131	203
60	132	132	204
61	133	133	205
62	134	134	206
63	135	135	207
64	136	136	208
65	137	137	209
66	138	138	210
67	139	139	211
68	140	140	212
69	141	141	213
70	142	142	214
71	143	143	215
72	144	144	216
